"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Neurodegenerative disease","hsa05010","Alzheimer disease","98/1868","388/9416",0.252577319587629,1.2731627629749,2.73353246899138,0.00460714993012749,0.034504612242657,0.034504612242657,"4519/3553/207/30849/7186/4514/5599/776/5691/91252/7494/89953/3709/4713/1649/9861/5605/8312/4535/55102/10297/2475/572/126328/374291/1452/513/7855/8323/1340/6868/8324/5609/23130/4041/4217/1856/4720/64837/823/5702/64116/5710/1346/1147/5595/4537/22926/9451/5705/83464/3416/4538/836/4509/808/1855/4696/5331/10975/1460/4512/51384/4729/322/4716/4541/27173/8408/11047/8325/1536/9821/4723/4540/5743/4536/55334/4790/348/23516/5970/2906/5684/3708/5533/5296/29982/4513/7922/3265/4311/1857/4539/841/4508/1435/293",98
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","24/1868","72/9416",0.333333333333333,1.6802284082798,2.88228718661461,0.00479252363268007,0.0351451733063205,0.0351451733063205,"843/3665/3576/6885/7186/5599/10010/5300/4793/6300/1147/7187/1432/3661/1540/3627/64135/4790/5970/8717/9755/9474/841/4214",24
"Organismal Systems","Nervous system","hsa04722","Neurotrophin signaling pathway","36/1868","120/9416",0.3,1.51220556745182,2.80911496018984,0.00492832310752524,0.0354034639560997,0.0354034639560997,"207/5599/4804/5598/6655/5605/572/396/25970/5609/27330/4217/4793/8767/6300/581/5595/1432/808/356/814/6195/7161/5781/9261/4790/3725/27018/5970/3654/5296/3265/51135/596/11213/4214",36
"Environmental Information Processing","Signaling molecules and interaction","hsa04061","Viral protein interaction with cytokine and cytokine receptor","31/1868","100/9416",0.31,1.56261241970021,2.81369635164451,0.00514003902277671,0.0354763477650471,0.0354763477650471,"2919/1236/3576/6362/3577/2921/2920/4055/729230/2826/8743/10563/3587/8807/6354/5196/3579/5473/3559/3627/7852/643/4283/1235/3561/3560/6347/1435/6372/1230/6376",31
"Organismal Systems","Immune system","hsa04640","Hematopoietic cell lineage","31/1868","100/9416",0.31,1.56261241970021,2.81369635164451,0.00514003902277671,0.0354763477650471,0.0354763477650471,"1604/3553/3113/3672/915/3675/3676/1441/952/3122/2057/3575/3574/3112/3655/930/2209/1378/3559/3126/2208/1380/1379/2323/914/7037/4311/3123/1435/3590/925",31
"Organismal Systems","Immune system","hsa04672","Intestinal immune network for IgA production","18/1868","50/9416",0.36,1.81464668094218,2.87316038822579,0.00561476967179528,0.0380076716244604,0.0380076716244604,"8741/3113/940/4055/942/2826/3676/3122/3112/10673/3126/29851/3600/7852/608/7040/23308/3123",18
"Human Diseases","Cancer: specific types","hsa05212","Pancreatic cancer","25/1868","77/9416",0.324675324675325,1.63658611196084,2.79019776752096,0.00593060834842741,0.0387366145629489,0.0387366145629489,"1871/207/675/5599/7422/6772/2475/572/7043/1019/5338/581/1147/5595/2064/51426/5925/595/7048/10928/4790/5970/10912/5296/7040",25
"Genetic Information Processing","Folding, sorting and degradation","hsa04120","Ubiquitin mediated proteolysis","41/1868","142/9416",0.288732394366197,1.45540911421419,2.72016342470059,0.00594254882499784,0.0387366145629489,0.0387366145629489,"51343/57448/140739/64682/27338/4281/55294/55236/26232/996/23295/64326/55958/330/8452/51588/6923/51465/55585/9354/55284/26272/4734/51434/7337/9320/5371/55120/29882/9817/6502/7326/10393/8454/7325/51366/8554/9040/8925/4214/997",41
"Metabolism","Energy metabolism","hsa00920","Sulfur metabolism","6/1868","10/9416",0.6,3.02441113490364,3.18624291354055,0.00607978764566958,0.0389106409322853,0.0389106409322853,"8991/54928/9060/9061/4357/23474",6
"Environmental Information Processing","Signal transduction","hsa04066","HIF-1 signaling pathway","33/1868","110/9416",0.3,1.51220556745182,2.68807737556024,0.0069055168771315,0.0434061060848266,0.0434061060848266,"207/7010/4055/2872/7422/5605/2475/7018/2026/5054/3458/5595/6923/2064/112399/1906/1978/1536/230/7099/4790/5163/5970/112398/5296/92483/5211/7037/596/3459/5579/5214/3091",33
"Cellular Processes","Transport and catabolism","hsa04148","Efferocytosis","44/1868","157/9416",0.280254777070064,1.41267611396773,2.59393905956812,0.00801790061183287,0.0487268521836489,0.0487268521836489,"4773/9564/4776/7376/55423/682/1847/5605/2057/5467/6868/26762/23200/6300/8578/5595/240/54896/9844/203859/10396/1901/286410/836/558/1432/10326/5175/23355/9023/5781/196527/5743/9261/383/56848/4953/1850/7040/1849/3717/6446/6376/3091",44
"Environmental Information Processing","Signal transduction","hsa04330","Notch signaling pathway","21/1868","63/9416",0.333333333333333,1.6802284082798,2.69483528563802,0.00802885632571488,0.0487268521836489,0.0487268521836489,"5986/26508/11317/6868/1856/28514/9612/3955/83464/4854/1855/2648/7089/9253/7091/23462/1857/196403/4855/3714/3280",21
